"Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Domains","App Title","Channel Type","Channel Subtype","Media Cost","Third-Party CPM Fee","Third-Party CPC Fee","Impressions","Clicks","Conversions","eCPM","CTR","CVR","eCPC","eCPA","Secondary Conversions","Conversion Revenue","ROAS","eCPE","eCPA (Secondary)"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","onzemondial.com","","Display","Standard","€0,02 ","€0,00 ","€0,00 ","5","0","0","€4,64 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","rtl.fr","","Display","Standard","€0,13 ","€0,00 ","€0,00 ","31","0","0","€4,05 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","750g.com","","Native","Standard","€5,26 ","€0,00 ","€0,00 ","1 425","11","0","€3,69 ","0,77%","0,00%","€0,48 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","laprovence.com","","Native","Standard","€0,78 ","€0,00 ","€0,00 ","241","0","0","€3,25 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","laviedesreines.com","","Display","Standard","€0,04 ","€0,00 ","€0,00 ","9","0","0","€4,51 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","routard.com","","Display","Standard","€0,06 ","€0,00 ","€0,00 ","14","0","0","€4,04 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","cotemaison.fr","","Native","Standard","€0,03 ","€0,00 ","€0,00 ","9","0","0","€2,99 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","marmiton.org","","Display","Standard","€17,68 ","€0,00 ","€0,00 ","4 018","8","0","€4,40 ","0,20%","0,00%","€2,21 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","terrafemina.com","","Display","Standard","€0,01 ","€0,00 ","€0,00 ","2","0","0","€3,84 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","cuisineactuelle.fr","","Native","Standard","€18,02 ","€0,00 ","€0,00 ","4 907","48","0","€3,67 ","0,98%","0,00%","€0,38 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","vogue.fr","","Native","Standard","€0,05 ","€0,00 ","€0,00 ","15","0","0","€3,51 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
